Name,Qualification,Experience,Languages,Expertise,Department,Designation,Description,Consultation Fee,Hospital Address,Hospital Phone,Not_Available_Days,Timings,Speciality Group
Dr. ASWATHY S NAIR,"MBBS (Kuhs, 2019)",6,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. ASWATHY S NAIR is a expert General Physician have qualification of MBBS (Kuhs, 2019) currently working in Ananthapuri Hospitals and Research Institute.",250,"Ananthapuri Hospitals and Research Institute , Nalanchira , Trivandrum, Chakkai, Thiruvananthapuram, 695015",-7941779691,Sunday,09:00 - 17:00,General Medicine
Dr. Aaliya S,MBBS,3,"English, Hindi, Tamil, Malayalam & Marati",", Clinical pathology, Hematology, Cytology, Histopathology, Biochemistry",Laboratory Medicine,Registrar,"Dr. Aaliya S who carries 3 years of experience with MBBS is working in Laboratory Medicine asRegistrar and is an expert in , Clinical pathology, Hematology, Cytology, Histopathology, Biochemistry.",400,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Pathology & Lab Medicine
Dr. Abdul Samad,"MBBS (T.D. Medical College, Alappuzha, 1988), MD - Dermatology and Venerology (Government Medical College,Thiruvananthapuram, 1997)",37,"English, Hindi & Malayalam",Not Available,Dermatologist,Not Available,"More than 30 years of experience in treating dermatological diseases and correcting cosmetic issues; worked in  Medical Education Department at various medical colleges of Kerala; retired from Govt. Medical College, Thiruvananthapuram as Professor of Dermatology on 30th April 2024.",300,"Dr. Samad's Cutis Care Skin & Cosmetology Clinic , Number 37, Pattom, Goureesapattom, Thiruvananthapuram, 695004",-8101729477,Sunday,16:00 - 22:00,Dermatology & Cosmetology
Dr. Abdul Shahid P P,", DM (Medical oncology), M.D. (General Medicine), M.B.B.S., Professional Certification Course on Multiple Myeloma, Myelokraft,",15,English,", Managing Solid and Liquid Malignancies, Medical Oncology, Hemato Oncology, CVP line insertion, femoral & jugular catheterization, Arterial puncture, Pleural tap, Peritoneal tap, ventricular tap, Lumbar Puncture, Bone marrow aspiration, liver and kidney biopsies","Medical Oncology, Oncology, Oncology, Medical oncology",Consultant,"Dr. Abdul Shahid P P who carries 15 years of experience with , DM (Medical oncology), M.D. (General Medicine), M.B.B.S., Professional Certification Course on Multiple Myeloma, Myelokraft, is working in Medical Oncology, Oncology, Oncology, Medical oncology asConsultant and is an expert in , Managing Solid and Liquid Malignancies, Medical Oncology, Hemato Oncology, CVP line insertion, femoral & jugular catheterization, Arterial puncture, Pleural tap, Peritoneal tap, ventricular tap, Lumbar Puncture, Bone marrow aspiration, liver and kidney biopsies.",900,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Oncology & Hematology
Dr. Abdul Shameer C K,", MDS Orthodontics, M Orth RCS Edinburgh, M Orth RCS Glasgow, MFDS RCS England",10,"English, Malayalam, Hindi & Tamil",", Growth Modification Orthodontics, Mini Implant assisted orthodontics, Re, treatment Orthodontics, Surgical orthodontics and surgical camouflage, Maxillary skeletal expansion","Dental, Clinical, Oral & Maxillofacial Surgery",Orthodontist,"Dr. Abdul Shameer C K who carries 10 years of experience with , MDS Orthodontics, M Orth RCS Edinburgh, M Orth RCS Glasgow, MFDS RCS England is working in Dental, Clinical, Oral & Maxillofacial Surgery asOrthodontist and is an expert in , Growth Modification Orthodontics, Mini Implant assisted orthodontics, Re, treatment Orthodontics, Surgical orthodontics and surgical camouflage, Maxillary skeletal expansion.",700,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Dentistry
Dr. Abhi Mohan,"MBBS (Pushpagiri Institute of Medical Sciences and Research Centre, 2016)",9,"English, Hindi & Malayalam",Not Available,General Practitioner,Not Available,"Dr. Abhi Mohan is a expert General Practitioner have qualification of MBBS (Pushpagiri Institute of Medical Sciences and Research Centre, 2016) currently working in Devika Medical Centre.",200,"Devika Medical Centre , aramkallu, karakulam, Karakulam, Thiruvananthapuram, None",-8494121144,Sunday,19:00 - 23:00,General Medicine
Dr. Abhilash H,"MBBS (Trivandram Medical College, 2003), DNB - General Medicine (Rani Durgawati Vishwa Vidyalaya, Jabalpur, 2008), DM - Gastroenterology (Govt Medical college  Trivandrum, 2013)",22,"English, Hindi & Malayalam",Not Available,Gastroenterologist,Not Available,"Consultant in Gastroenterology  Hepatology and Interventional Endoscopist in GG Hospital Trivandrum.
Visiting Consultant in SK Hospital Pangode Trivandrum.
Previously worked in Gastroenterology Department of  Medical College Trivandrum and KIMS  Hospital Anayara",250,"Thiruvananthapuram , Government Dental College, TV Medical College, Thiruvananthapuram, None",-8938111810,All Days,00:00 - 23:59,Gastroenterology & Hepatology
Dr. Abhilash P.R,"BDS (NSVK Sri Venkateshwara Dental College  Hospital, 1998)",27,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"Dr. Abhilash P.R is a expert Dentist have qualification of BDS (NSVK Sri Venkateshwara Dental College  Hospital, 1998) currently working in Smile Denta Care.",100,"Smile Denta Care , 1St Floor, Rohini Building, Kattakada, Thiruvananthapuram, 695572",-9265880032,All Days,09:30 - 18:30,Dentistry
Dr. Abhilash R J,"MBBS (Government Dental College, Calicut, 2002)",23,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. Abhilash R J is a expert General Physician have qualification of MBBS (Government Dental College, Calicut, 2002) currently working in Dr. Abhilash R J.",250,"Dr. Abhilash R J , Door.No.VRA 175, Mannanmoola, Landmark: Near Idakulam Temple, Perurkada, Thiruvananthapuram, None",-8728031541,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Not Available,General Medicine
Dr. Abhilash V Jacob,"BDS (Government Dental College , Trivandrum, Kerela university, 2000), MDS - Conservative Dentistry & Endodontics (Government Dental College , Trivandrum, Kerela university, 2003)",25,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"Dr. Abhilash V Jacob is a expert Dentist have qualification of BDS (Government Dental College , Trivandrum, Kerela university, 2000), MDS - Conservative Dentistry & Endodontics (Government Dental College , Trivandrum, Kerela university, 2003) currently working in Dr.Jacob's Omega Dental Clinic.",200,"Dr.Jacob's Omega Dental Clinic , beach rd, near thomas cook, kovalam, kerala 695527, india, Kovalam Beach, Thiruvananthapuram, None",-7363097104,All Days,10:00 - 14:00,Dentistry
Dr. Abraham John,"BDS (Sri Balaji Dental College , Chennai, 2010)",15,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"It is my very great pleasure to welcome you to Dr John's Dental Centre. The dental team draws together one of the best and most experienced clinical teams in the region with the sole aim of providing our patients with exemplary dental care. Each of our clients can enjoy a bespoke service, ensuring treatment that meets their needs supported by the very best of clinical facilities.

I look forward to welcoming you to one of our practices.",200,"Dr Johns Dental Centre , Pazhaya Road, Opp. HDFC Bank, Medical College P.O., TV Medical College, Thiruvananthapuram, 695004",-9219779503,Sunday,14:00 - 19:00,Dentistry
Dr. Abu Madan,", MBBS ( Calicut medical college), MS ( Calicut medical college), MCh ( Trivandrum medical college)",25,"English, Hindi & Malayalam",", Minimally invasive brain and endoscopic spine surgery","Neurosurgery, Neurosciences",Senior Consultant,"Dr. Abu Madan who carries 25 years of experience with , MBBS ( Calicut medical college), MS ( Calicut medical college), MCh ( Trivandrum medical college) is working in Neurosurgery, Neurosciences asSenior Consultant and is an expert in , Minimally invasive brain and endoscopic spine surgery.",1000,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Neurology & Neurosciences
Dr. Abul Faizy S M,MD or MS in relevant specialty,12,"English, Malayalam & Tamil & Hindi",", Clinical interests include trauma resuscitation, acute cardiac and respiratory emergencies, point, of, care ultrasound, toxicology, and advanced airway management., Skilled in coordinating multidisciplinary teams and delivering evidence, based care in high, acuity settings.",Emergency Medicine,Specialist ,"Dr. Abul Faizy S M who carries 12 years of experience with MD or MS in relevant specialty is working in Emergency Medicine asSpecialist  and is an expert in , Clinical interests include trauma resuscitation, acute cardiac and respiratory emergencies, point, of, care ultrasound, toxicology, and advanced airway management., Skilled in coordinating multidisciplinary teams and delivering evidence, based care in high, acuity settings..",900,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Emergency & Critical Care
Dr. Achsah Roy,"MBBS (Kerala University- Miraj Medical Center, 2024)",1,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. Achsah Roy is a expert General Physician have qualification of MBBS (Kerala University- Miraj Medical Center, 2024) currently working in NIMS Hospital.",250,"NIMS Hospital , Micro, Balaramapuram, Thiruvananthapuram, 695501",-9841761644,Sunday,16:00 - 19:00,General Medicine
Dr. Adarsh   (Physiotherapist),"BPTh/BPT (School Of Medical Education, Ernakulam, 2008)",17,"English, Hindi & Malayalam",Not Available,Physiotherapist,Not Available,"Physiotherapist with a decade of combined experience in India and Europe. 

A former Indian national football sports physiotherapist who has represented  India various countries of Europe, Russia, North Asia Currently associated with Kerala Cricket.

Adarsh has been also working with leading hospitals in India like Manipal hospital Bangalore, Fortis Hospital Bangalore. Major area of expertise involves in manual therapy, Post traumatic physiotherapy in sport injuries, Orthopedic rehabilitation.

Successfully treated hundreds of patients and Rehabilitated many Indian and international sport players.

He is an expert in treating Musculoskeletal  skeletal a disorders associated with  lifestyle and work related body issues like chronic back, neck pains.",400,"The Painfree Physio and Sports Rehab , Kottamugal, Nalanchira, Thiruvananthapuram, 605015",-8908412030,All Days,06:30 - 21:00,Orthopedics & Physiotherapy
Dr. Adithya Sankar M,"BDS (MADCH, MGR Medical University, 2018)",7,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"Dr. Adithya Sankar M is a expert Dentist have qualification of BDS (MADCH, MGR Medical University, 2018) currently working in Dr Adithyan's City Dental Clinic.",200,"Dr Adithyan's City Dental Clinic , Cotton Hill, Edapazhanji, Thiruvananthapuram, Kerala, Cotton Hill, Thiruvananthapuram, 695014",-8953350292,All Days,10:00 - 20:00,Dentistry
Dr. Adithya Sreeja,"BAMS (Kerala University Of Health Sciences, 2024)",1,"English, Hindi & Malayalam",Not Available,Ayurveda,Not Available,"Dr. Adithya Sreeja is a expert Ayurveda have qualification of BAMS (Kerala University Of Health Sciences, 2024) currently working in Dhanwantari Ayurcare.",300,"Dhanwantari Ayurcare , Uthram Kollamkonam, Vilappilsala, Thiruvananthapuram, 695573",-9755516018,"Monday, Tuesday, Wednesday, Thursday, Friday",15:00 - 18:00,Ayush
Dr. Ahammed Haris,"MDS - Oral & Maxillofacial Surgery (PIMS, Kerela, 2021), BDS (SRM Dental College, SRM University, 2012)",4,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"Dr. Ahammed Haris is a expert Dentist have qualification of MDS - Oral & Maxillofacial Surgery (PIMS, Kerela, 2021), BDS (SRM Dental College, SRM University, 2012) currently working in Cosmodent Dental Clinic .",200,"Cosmodent Dental Clinic  , Melemukku, Pothencode, Thiruvananthapuram, 695584",-9256516177,All Days,15:30 - 19:00,Dentistry
Dr. Aijiv Thulaseedharan,", MBBS, MS (General Surgery), MCh (Cardiovascular and Thoracic Surgery)",15,English,"Cardiovascular and Thoracic Surgery, including:, Coronary Artery Bypass Grafting (CABG), Valve Replacements and Repairs, Beating Heart Surgery (OPCAB), Minimally Invasive Cardiac Surgery (MICS), Open and minimally invasive(VATS) lung surgery procedures, Peripheral Vascular Surgery, Vascular access surgery for dialysis, Thoracic trauma, ECMO and IABP Support, Robotic Cardiac Surgery, Heart and Lung Transplant Support","Cardiothoracic and Vascular Surgery, Cardiac Sciences",Consultant,"Dr. Aijiv Thulaseedharan who carries 15 years of experience with , MBBS, MS (General Surgery), MCh (Cardiovascular and Thoracic Surgery) is working in Cardiothoracic and Vascular Surgery, Cardiac Sciences asConsultant and is an expert in Cardiovascular and Thoracic Surgery, including:, Coronary Artery Bypass Grafting (CABG), Valve Replacements and Repairs, Beating Heart Surgery (OPCAB), Minimally Invasive Cardiac Surgery (MICS), Open and minimally invasive(VATS) lung surgery procedures, Peripheral Vascular Surgery, Vascular access surgery for dialysis, Thoracic trauma, ECMO and IABP Support, Robotic Cardiac Surgery, Heart and Lung Transplant Support.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Cardiology
Dr. Aiswarya,"MBBS (Sree Uthradom Thiurnal Academy of Medical Sciences, 2018), MS - ENT (Dr. YSR University of health sciences , 2023)",7,"English, Hindi & Malayalam",Not Available,Ear-Nose-Throat (ENT) Specialist,Not Available,"Dr. Aiswarya is a expert Ear-Nose-Throat (ENT) Specialist have qualification of MBBS (Sree Uthradom Thiurnal Academy of Medical Sciences, 2018), MS - ENT (Dr. YSR University of health sciences , 2023) currently working in Noorul Islam Multi Speciality Hospital.",300,"Noorul Islam Multi Speciality Hospital , C/O Noorul Islam Multi Speciality Hospital, Aralummoodu, Neyyattinkara, Landmark: Near Nice Garden., Neyyattinkara, Thiruvananthapuram, None",-7518743449,Sunday,08:00 - 19:00,ENT
Dr. Aiswarya,"BDS (Rajiv Gandhi University Of Health Sciences, Bengaluru, 2018), MDS - Orthodontics and Dentofacial Orthopaedics (Rajiv Gandhi University Of Health Sciences, Bengaluru, 2025)",7,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"Dr. Aiswarya is a expert Dentist have qualification of BDS (Rajiv Gandhi University Of Health Sciences, Bengaluru, 2018), MDS - Orthodontics and Dentofacial Orthopaedics (Rajiv Gandhi University Of Health Sciences, Bengaluru, 2025) currently working in Chitra Multispeciality Dental Centre.",300,"Chitra Multispeciality Dental Centre , Opposite Elamkulam Mahadeva Temple Arch, Sreekaryam, Thiruvananthapuram, 695017",-9030279939,All Days,09:00 - 19:00,Dentistry
Dr. Aiswarya R Pillai,", MBBS, Veer Surendra Sai Medical College, Sambalpur, Odisha 2016, DNB General Surgery, KIMS Health 2020, MCh Paediatric surgery, Govt Medical College, Thiruvananthapuram(2023 ), DrNB Paediatric Surgery (2025)",10,"English, Malayalam, Hindi & Odiya",", Paediatric Urology, Neonatal Surgery, Paediatric Emergency and Trauma, General Paediatric Surgery","Pediatric Surgery, Paediatrics, Pediatrics",Associate Consultant,"Dr. Aiswarya R Pillai who carries 10 years of experience with , MBBS, Veer Surendra Sai Medical College, Sambalpur, Odisha 2016, DNB General Surgery, KIMS Health 2020, MCh Paediatric surgery, Govt Medical College, Thiruvananthapuram(2023 ), DrNB Paediatric Surgery (2025) is working in Pediatric Surgery, Paediatrics, Pediatrics asAssociate Consultant and is an expert in , Paediatric Urology, Neonatal Surgery, Paediatric Emergency and Trauma, General Paediatric Surgery.",1100,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Pediatrics
Dr. Ajai Kumar Prithvi,", DM, DNB (Neonatology & Pediatrics), MBBS",10,"English, Malayalam & Hindi",", Perinatology, Functional echocardiography & targeted ultrasonography, Teaching and training in neonatal care.",Neonatology,Associate Consultant,"Dr. Ajai Kumar Prithvi who carries 10 years of experience with , DM, DNB (Neonatology & Pediatrics), MBBS is working in Neonatology asAssociate Consultant and is an expert in , Perinatology, Functional echocardiography & targeted ultrasonography, Teaching and training in neonatal care..",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Pediatrics
Dr. Ajay Ravi,", MBBS, Government Medical College, Pariyaram, Kannur, DNB, Chest Hospital Calicut, Fellowship in Interventional Pulmonology and Thoracic Oncology, Rajiv Gandhi Cancer Institute and Research Center, New Delhi",15,English,", Advanced Airway Interventions, Endobronchial Ultrasound, Pleuroscopy, Pediatric Bronchoscopy, Thoracic Oncology",Respiratory Medicine,Consultant,"Dr. Ajay Ravi who carries 15 years of experience with , MBBS, Government Medical College, Pariyaram, Kannur, DNB, Chest Hospital Calicut, Fellowship in Interventional Pulmonology and Thoracic Oncology, Rajiv Gandhi Cancer Institute and Research Center, New Delhi is working in Respiratory Medicine asConsultant and is an expert in , Advanced Airway Interventions, Endobronchial Ultrasound, Pleuroscopy, Pediatric Bronchoscopy, Thoracic Oncology.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Pulmonology & Respiratory Medicine
Dr. Ajeesh C.E.,"MBBS (Kerala University Of Health Sciences, 2016)",9,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. Ajeesh C.E. is a expert General Physician have qualification of MBBS (Kerala University Of Health Sciences, 2016) currently working in Jubliee Memorial Hospital .",250,"Jubliee Memorial Hospital  , Meads Lane, Palayam, Thiruvananthapuram, 695034",-7046613834,Sunday,00:00 - 23:55,General Medicine
Dr. Ajilal S K,", BDS, MDS",11,"English, Malayalam, Hindi, Arabic & Tamil",", Operative Microscope assisted Endodontic Procedures ( RCT) and Retreatment RCT","Dental, Clinical, Oral & Maxillofacial Surgery",Microscopic Endodontist,"Dr. Ajilal S K who carries 11 years of experience with , BDS, MDS is working in Dental, Clinical, Oral & Maxillofacial Surgery asMicroscopic Endodontist and is an expert in , Operative Microscope assisted Endodontic Procedures ( RCT) and Retreatment RCT.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Dentistry
Dr. Ajit Kumar V K,", MBBS, MD, DM",22,English,", Interventional cardiology, Electrophysiology, Cardiac imaging","Cardiology, Cardiac Sciences",Senior Consultant & Coordinator,"Dr. Ajit Kumar V K who carries 22 years of experience with , MBBS, MD, DM is working in Cardiology, Cardiac Sciences asSenior Consultant & Coordinator and is an expert in , Interventional cardiology, Electrophysiology, Cardiac imaging.",800,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Cardiology
Dr. Ajit Thomas,", MBBS, MD (Gen.Medicine), Kuvempu University, MRCP (UK), Royal College of Physicians of the United Kingdom, FRCP(London), Speciality Certificate in Acute Medicine",25,"English, Malayalam, Hindi & Kannada",", Internal Medicine, Acute Medicine",Internal Medicine,Senior Consultant,"Dr. Ajit Thomas who carries 25 years of experience with , MBBS, MD (Gen.Medicine), Kuvempu University, MRCP (UK), Royal College of Physicians of the United Kingdom, FRCP(London), Speciality Certificate in Acute Medicine is working in Internal Medicine asSenior Consultant and is an expert in , Internal Medicine, Acute Medicine.",1400,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,General Medicine
Dr. Ajith K Nair,", MBBS, MD in General Medicine, DM in Gastroenterology",24,English & Malayalam,", Gastroenterology, Diagnostic and therapeutic endoscopy, Therapeutic Endoscopy","Gastroenterology, Medical Gastroenterology",Senior Consultant & Group Coordinator ,"Dr. Ajith K Nair who carries 24 years of experience with , MBBS, MD in General Medicine, DM in Gastroenterology is working in Gastroenterology, Medical Gastroenterology asSenior Consultant & Group Coordinator  and is an expert in , Gastroenterology, Diagnostic and therapeutic endoscopy, Therapeutic Endoscopy.",800,"KIMSHEALTH Hospital Kollam Sithara Jn. Kottiyam P.O., Kollam Kerala - 691 571",+91 474 294 1000,Sunday,09:00 - 18:00,Gastroenterology & Hepatology
Dr. Ajith R,", MBBS, DrNB (Neurosurgery)",22,English & Malayalam,", Minimally invasive brain and spine surgery, Cerebrospinal vascular surgery, Endoscopic skull base surgery, Endoscopic spine surgery","Neurosurgery, Neurosciences",Senior Consultant & Coordinator,"Dr. Ajith R who carries 22 years of experience with , MBBS, DrNB (Neurosurgery) is working in Neurosurgery, Neurosciences asSenior Consultant & Coordinator and is an expert in , Minimally invasive brain and spine surgery, Cerebrospinal vascular surgery, Endoscopic skull base surgery, Endoscopic spine surgery.",1000,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Neurology & Neurosciences
Dr. Ajmal Abdul Kharim,", MBBS, DNB, Emergency Medicine, DrNB Critical Care Medicine",10,English & Malayalam,", Advanced Mechanical Ventilation and Unconventional Ventilatory Strategies like Prone Ventilation, Tropical Fever and Infectious Diseases, Poly Trauma Management in ICU, Toxicology and Snake Bite Management, ECMO Support, Obstetrical Critical Care Management",Critical Care,Associate Consultant,"Dr. Ajmal Abdul Kharim who carries 10 years of experience with , MBBS, DNB, Emergency Medicine, DrNB Critical Care Medicine is working in Critical Care asAssociate Consultant and is an expert in , Advanced Mechanical Ventilation and Unconventional Ventilatory Strategies like Prone Ventilation, Tropical Fever and Infectious Diseases, Poly Trauma Management in ICU, Toxicology and Snake Bite Management, ECMO Support, Obstetrical Critical Care Management.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Emergency & Critical Care
Dr. Akhil Dutt,"BDS (PMS College of Dental Science  Research, 2010)",15,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"Dr. Akhil Dutt is a expert Dentist have qualification of BDS (PMS College of Dental Science  Research, 2010) currently working in Dr Akhil Smile Concepts Dental Care & Implant Centre.",200,"Dr Akhil Smile Concepts Dental Care & Implant Centre , Vijay plaza near More Super Market ulloor akkulam road, Ulloor, Thiruvananthapuram, 695011",-9451946898,All Days,09:15 - 20:00,Dentistry
